symbol,date,entered,return_pct,ret_30m,full_return,entry_price,exit_price,exit_reason
JUBLPHARMA,2023-03-17 00:00:00,True,-0.73,5.211093446387563,2.9046339825386087,304.6,302.67,trailing_stop
KALYANKJIL,2023-03-17 00:00:00,True,4.47,4.8623853211009145,6.736657917760283,113.2,118.38,trailing_stop
NHPC,2023-03-17 00:00:00,True,-1.63,4.6625766871165615,-2.227432590855793,42.2,41.55,trailing_stop
CHOLAHLDNG,2023-03-20 00:00:00,True,-1.51,8.624031007751938,-1.7305976806422918,555.0,547.18,trailing_stop
ADANIGREEN,2023-03-20 00:00:00,True,-1.18,5.520396014787888,0.42161520190023216,839.9,830.79,trailing_stop
COCHINSHIP,2023-03-20 00:00:00,True,-1.43,4.148082069580736,-1.6788008565310437,232.9,229.81,trailing_stop
UTIAMC,2023-03-21 00:00:00,True,-0.84,4.39469320066335,-1.3423351866560835,627.95,623.28,trailing_stop
NAVINFLUOR,2023-03-21 00:00:00,True,-1.71,3.723442136498525,-3.2830970281621,4308.05,4238.5,trailing_stop
IDBI,2023-03-21 00:00:00,True,-0.1,2.832244008714606,-0.847457627118656,46.8,46.8,close_1515
TRIDENT,2023-03-22 00:00:00,True,-1.59,5.535055350553505,-2.6223776223776225,28.85,28.42,trailing_stop
BLS,2023-03-22 00:00:00,True,-0.62,3.3205619412516074,-2.904820766378255,158.7,157.88,trailing_stop
ATGL,2023-03-22 00:00:00,False,0.0,2.8013675967795275,0.34331080356184224,,,no_pullback
APLAPOLLO,2023-03-23 00:00:00,False,0.0,3.0028518704915244,1.017915309446254,,,no_pullback
PAYTM,2023-03-23 00:00:00,True,-1.08,2.0711715313874524,-2.7420871200250705,628.8,622.6,close_1515
HINDALCO,2023-03-23 00:00:00,False,0.0,1.8604651162790669,1.116184677828522,,,no_pullback
ITI,2023-03-24 00:00:00,True,0.92,5.912162162162162,0.7442849548112737,98.0,99.0,close_1515
SAREGAMA,2023-03-24 00:00:00,True,-1.78,3.7883845126835665,-3.376748673420164,308.0,302.82,trailing_stop
VBL,2023-03-24 00:00:00,True,-1.06,3.2497678737233056,-3.597122302158273,274.2,271.56,trailing_stop
USHAMART,2023-03-27 00:00:00,True,-1.55,3.188474256022674,-3.685053788052178,216.0,212.86,trailing_stop
AUROPHARMA,2023-03-27 00:00:00,True,0.16,1.997802417340925,-0.2546273626481268,511.0,512.35,close_1515
ZYDUSLIFE,2023-03-27 00:00:00,False,0.0,1.9673855865334082,-1.0111432108955911,,,no_pullback
EMAMILTD,2023-03-28 00:00:00,True,1.6,3.4620316284371095,0.09639217846322387,357.2,363.29,trailing_stop
TRIDENT,2023-03-28 00:00:00,True,-1.53,2.161100196463657,-0.5769230769230715,25.7,25.33,trailing_stop
LODHA,2023-03-28 00:00:00,True,-1.79,1.8375000000000057,-3.7805327114275276,407.95,401.06,trailing_stop
ITI,2023-03-29 00:00:00,True,0.23,5.530474040632061,-3.6363636363636425,92.55,92.86,trailing_stop
ADANIPOWER,2023-03-29 00:00:00,True,1.63,5.449101796407183,3.6342986939239106,179.4,182.5,close_1515
PPLPHARMA,2023-03-29 00:00:00,True,0.13,4.5418326693227,0.0,65.3,65.45,close_1515
INDIGO,2023-03-31 00:00:00,False,0.0,3.8239302262196837,0.5434069251568482,,,no_pullback
